,Playlist Name,Track Name,Artists,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration (ms),Time Signature
1105,ISTJ,Love is a beauty,NCT 127,0.74,0.412,8,-5.072,1,0.0374,0.355,0.0,0.107,0.477,97.006,288533,3
1106,ISTJ,Misty,NCT 127,0.573,0.659,1,-5.379,0,0.0394,0.298,0.0,0.0975,0.33,79.897,237747,4
1107,ISTJ,Real Life,NCT 127,0.732,0.683,2,-3.818,1,0.0416,0.388,0.0,0.266,0.497,122.025,212320,4
1108,ISTJ,We Go!,NCT NEW TEAM,0.735,0.623,7,-6.176,1,0.122,0.233,0.0,0.229,0.585,164.079,181507,4
1109,ISTJ,Hands Up,NCT NEW TEAM,0.736,0.806,4,-2.868,1,0.0483,0.0859,0.0,0.0623,0.682,100.018,194653,4
1110,ISTJ,Talk Saxy,RIIZE,0.713,0.586,5,-5.593,0,0.0385,0.11,0.0,0.0982,0.559,88.949,190941,4
1111,istj,ISTJ,NCT DREAM,0.646,0.956,4,-1.575,0,0.058,0.0161,0.0,0.299,0.356,121.955,185280,4
1112,istj,Broken Melodies,NCT DREAM,0.577,0.821,1,-2.984,1,0.0492,0.186,0.0,0.18,0.392,150.023,226160,4
1113,istj,Yogurt Shake,NCT DREAM,0.793,0.804,11,-2.988,1,0.0543,0.274,0.0,0.208,0.548,130.077,197600,4
1114,istj,Skateboard,NCT DREAM,0.813,0.938,9,-2.02,1,0.133,0.0899,0.0,0.0316,0.829,109.968,186333,4
1115,istj,Blue Wave,NCT DREAM,0.708,0.736,5,-4.207,1,0.113,0.114,0.0,0.32,0.579,108.002,190867,4
1116,istj,Poison,NCT DREAM,0.642,0.61,8,-4.037,0,0.0368,0.0627,0.0,0.314,0.588,134.83,212680,4
1117,istj,SOS,NCT DREAM,0.775,0.815,1,-3.483,1,0.157,0.0541,0.0,0.435,0.442,110.03,179827,4
1118,istj,Pretzel (♡),NCT DREAM,0.783,0.691,10,-3.611,0,0.116,0.0244,0.0,0.0927,0.581,100.993,205693,4
1119,istj,Starry Night,NCT DREAM,0.675,0.765,0,-3.971,0,0.0431,0.446,0.0,0.184,0.728,152.984,190120,4
1120,istj,Like We Just Met,NCT DREAM,0.663,0.51,2,-5.617,1,0.0383,0.161,0.0,0.171,0.442,106.984,209627,4
1121,istj,Beatbox - English Version,NCT DREAM,0.859,0.674,0,-4.508,1,0.0774,0.0528,0.0,0.0357,0.779,93.989,205120,4
1122,istj,Best Friend Ever,NCT DREAM,0.789,0.869,5,-1.805,0,0.103,0.022,0.0,0.0644,0.762,107.977,201440,4
1123,istj,Glitch Mode - Japanese ver.,NCT DREAM,0.646,0.777,10,-2.996,0,0.0857,0.0204,0.0,0.126,0.581,167.043,207053,4
1124,istj,Candy,NCT DREAM,0.65,0.964,1,-1.329,1,0.0348,0.0538,0.0,0.245,0.836,120.008,217067,4
